,3.1,1,1.1,0,1.2,kids,life_is_good,husband_work,2+3+1
146,0,1,1,0,1,1,0,1,4
147,3,0,1,0,3,1,1,1,4
148,5,1,1,0,1,2,0,1,3
149,1,1,1,0,3,1,0,1,3
150,2,1,1,0,1,1,1,0,4
151,3,1,1,0,3,1,0,1,3
152,7,1,1,0,3,3,0,1,2
153,3,1,1,0,1,1,0,1,0
154,16,1,1,0,3,3,1,0,4
155,2,1,1,0,1,1,0,1,3
156,0,1,1,0,1,1,0,1,3
157,5,1,1,0,1,2,0,1,3
158,5,1,1,0,3,2,0,1,3
159,2,1,1,0,2,1,0,1,3
160,1,0,1,0,3,1,1,1,4
161,1,1,1,0,1,1,0,1,3
162,6,1,1,0,1,2,0,1,3
163,2,1,1,0,3,1,1,1,4
164,3,0,1,0,1,1,1,1,3
165,0,1,1,0,1,1,0,1,3
166,2,1,1,0,1,1,1,0,4
167,2,1,1,0,1,1,1,1,1
168,4,1,1,0,2,2,1,0,4
169,5,1,0,0,1,2,1,0,4
170,5,1,0,0,1,2,0,1,3
171,4,1,1,0,2,2,1,0,4
172,1,0,0,0,2,1,1,1,3
173,4,1,0,0,3,2,1,0,3
174,4,1,1,0,1,2,1,0,4
175,1,1,0,0,3,1,1,0,3
176,1,1,1,0,3,1,0,1,1
177,2,1,1,0,1,1,0,1,4
178,2,1,1,0,1,1,0,1,1
179,1,0,1,0,3,1,1,1,4
180,2,1,0,0,3,1,1,1,4
181,3,0,1,0,2,1,1,1,4
182,6,1,1,0,2,2,0,0,2
183,2,1,1,0,2,1,1,1,3
184,5,1,1,0,3,2,0,1,1
185,5,1,1,0,2,2,1,1,3
186,2,1,1,0,1,1,1,1,3
187,4,1,1,0,3,2,0,1,4
188,0,1,0,0,1,1,0,1,4
189,5,1,1,0,1,2,0,1,1
190,8,1,1,1,1,3,0,1,0
191,0,1,1,0,1,1,0,1,1
192,4,0,1,0,3,2,1,0,4
193,10,1,1,0,2,3,0,1,0
194,6,1,0,0,1,2,0,1,2
195,3,1,1,1,1,1,0,1,0
196,2,1,1,0,3,1,1,0,3
197,5,1,1,0,2,2,1,1,2
198,6,1,1,0,2,2,0,0,4
199,0,1,1,0,1,1,0,1,3
200,2,1,0,0,3,1,1,1,4
201,1,1,1,0,1,1,1,0,4
202,3,0,0,0,3,1,1,1,2
203,5,1,1,0,3,2,0,1,1
204,1,1,1,0,1,1,1,1,1
205,3,1,1,0,1,1,1,1,4
206,7,1,1,0,2,3,1,1,4
207,1,1,1,0,1,1,0,1,3
208,6,1,0,0,2,2,0,1,3
209,0,1,0,0,1,1,1,1,3
210,5,0,1,0,3,2,1,0,3
211,3,1,1,0,3,1,0,1,3
212,0,1,1,0,1,1,0,1,3
213,4,1,1,0,3,2,0,1,3
214,2,1,1,0,1,1,1,0,2
215,9,1,0,1,3,3,1,1,1
216,6,1,0,0,2,2,0,1,3
217,4,1,1,0,1,2,1,0,4
218,5,1,1,0,1,2,1,1,3
219,4,1,1,0,1,2,1,0,3
220,4,1,1,0,3,2,0,1,1
221,3,0,1,0,1,1,0,0,4
222,5,1,1,0,3,2,0,1,4
223,3,1,1,0,1,1,1,0,4
224,1,1,1,0,3,1,0,1,3
225,6,1,1,0,3,2,0,1,1
226,0,0,0,0,1,1,1,1,4
227,2,1,0,0,1,1,0,1,3
228,1,1,0,0,1,1,0,0,4
229,2,1,1,0,1,1,0,1,3
230,3,1,0,1,1,1,1,0,4
231,5,1,1,0,3,2,1,1,3
232,7,1,1,0,1,3,1,1,3
233,3,1,1,0,2,1,0,1,3
234,1,1,1,0,3,1,0,1,1
235,1,0,1,0,1,1,1,1,3
236,2,1,1,1,1,1,0,1,2
237,2,1,1,0,3,1,1,1,3
238,7,1,0,0,3,3,0,1,1
239,2,1,1,0,1,1,0,1,3
240,5,1,1,0,2,2,1,1,3
241,3,0,0,0,2,1,1,1,3
242,1,1,1,0,1,1,0,1,3
243,3,1,1,0,1,1,0,1,3
244,2,0,1,0,1,1,1,0,4
245,3,1,0,0,1,1,0,1,3
246,0,1,0,0,1,1,1,1,3
247,1,1,1,0,2,1,1,1,4
248,0,1,1,0,1,1,0,1,3
249,5,1,1,0,2,2,1,0,4
250,1,0,1,0,1,1,0,1,2
251,2,1,1,0,3,1,0,1,3
252,3,1,1,0,3,1,1,1,2
253,8,1,1,0,3,3,1,1,4
254,1,1,1,0,1,1,0,1,3
255,2,0,1,0,1,1,1,0,4
256,3,1,0,0,2,1,0,1,4
257,9,1,1,0,1,3,1,0,3
258,4,1,1,0,3,2,1,1,3
259,1,1,1,0,3,1,0,1,3
260,1,0,0,0,2,1,1,0,4
261,3,1,1,0,1,1,1,1,3
262,6,0,0,0,3,2,1,1,2
263,4,1,1,0,3,2,1,1,3
264,6,1,1,0,3,2,0,0,3
265,1,1,1,0,2,1,0,1,4
266,7,1,1,0,2,3,1,1,1
267,4,1,1,0,3,2,0,1,2
268,3,1,1,0,3,1,0,1,3
269,4,1,1,0,3,2,0,1,1
270,8,1,1,0,2,3,0,1,3
271,6,1,0,0,2,2,1,0,4
272,7,1,1,0,2,3,1,1,3
273,1,1,0,1,1,1,0,1,1
274,3,1,1,0,2,1,1,0,4
275,4,0,0,0,3,2,1,0,4
276,1,1,1,0,2,1,0,1,4
277,0,0,1,0,3,1,1,2,1
278,7,1,1,0,2,3,1,0,4
279,1,0,1,0,1,1,0,0,4
280,3,1,1,0,1,1,1,0,4
281,1,1,0,0,1,1,0,1,3
282,0,1,1,0,1,1,0,0,3
283,7,1,1,0,2,3,1,1,2
284,1,1,1,0,2,1,1,0,4
285,1,1,0,0,3,1,1,1,3
286,1,1,1,0,1,1,0,1,2
287,1,1,0,0,2,1,1,0,4
288,7,1,0,0,2,3,1,1,3
289,3,1,1,0,2,1,1,1,3
290,1,1,1,0,3,1,1,1,4
291,2,1,0,0,3,1,1,1,3
292,1,1,1,0,3,1,0,1,3
293,5,0,1,0,2,2,0,1,3
294,10,1,1,1,1,3,0,1,1
295,0,1,0,0,1,1,0,1,3
296,3,1,1,0,2,1,0,1,4
297,3,1,1,0,3,1,0,1,2
298,2,1,1,1,1,1,0,1,3
299,3,1,1,0,1,1,0,0,3
300,0,1,1,0,1,1,0,0,3
301,4,0,1,0,3,2,0,1,1
302,2,1,0,0,3,1,1,0,4
303,2,0,1,0,2,1,0,1,3
304,7,1,1,1,1,3,0,1,1
305,5,0,1,0,1,2,1,1,4
306,3,1,1,0,2,1,1,0,4
307,6,1,1,0,3,2,0,1,1
308,0,0,0,0,1,1,0,1,0
309,1,1,1,0,1,1,0,1,4
310,0,1,0,0,1,1,0,1,3
311,4,1,1,1,1,2,0,1,1
312,3,1,1,0,2,1,0,0,4
313,6,1,1,0,3,2,1,1,2
314,2,0,0,0,2,1,0,1,4
315,7,1,1,0,2,3,1,0,4
316,2,1,1,0,1,1,1,0,3
317,0,1,1,1,1,1,0,1,1
318,4,1,0,0,1,2,1,1,3
319,3,0,0,1,1,1,0,1,3
320,5,1,1,0,3,2,0,0,3
321,4,1,1,1,1,2,1,0,1
322,3,1,1,0,2,1,1,0,4
323,1,0,1,0,3,1,1,0,4
324,1,1,1,0,2,1,1,0,4
325,7,1,1,0,1,3,0,1,1
326,7,0,1,0,3,3,1,1,3
327,3,1,1,0,3,1,1,0,4
328,2,0,0,0,2,1,1,0,4
329,2,1,0,0,1,1,1,1,3
330,6,1,1,0,3,2,1,0,4
331,5,1,1,0,2,2,1,1,1
332,3,1,1,0,3,1,0,1,3
333,0,1,1,0,1,1,0,1,4
334,0,0,0,0,1,1,0,1,1
335,2,1,1,0,2,1,0,0,3
336,4,1,1,0,2,2,1,0,4
337,8,1,1,0,1,3,0,0,1
338,3,1,1,0,3,1,1,2,3
339,2,1,1,0,2,1,1,0,4
340,5,1,1,0,3,2,1,0,3
341,1,1,1,0,2,1,1,0,4
342,3,1,0,0,1,1,0,2,1
343,4,1,1,1,2,2,0,2,1
344,4,1,1,0,2,2,0,0,3
345,6,1,1,0,3,2,0,1,3
346,4,1,1,0,3,2,1,1,3
347,1,1,1,0,3,1,0,1,4
348,9,1,0,0,2,3,0,1,1
349,5,1,1,0,3,2,0,1,2
350,5,1,1,0,1,2,0,1,3
351,1,1,1,0,3,1,0,1,2
352,8,1,1,0,3,3,1,0,4
353,2,1,1,0,1,1,1,0,4
354,8,1,1,0,2,3,1,0,4
355,2,1,1,0,3,1,0,1,4
356,2,0,0,0,3,1,1,0,4
357,3,1,1,0,1,1,0,1,1
358,8,1,1,0,3,3,0,0,3
359,5,1,1,0,3,2,0,1,0
360,4,1,1,0,2,2,0,1,2
361,6,0,1,0,1,2,0,1,3
362,0,1,0,0,1,1,1,0,4
363,5,1,1,0,2,2,0,0,3
364,2,1,1,0,1,1,0,0,3
365,1,1,1,0,1,1,0,1,3
366,3,1,1,0,3,1,1,0,4
367,8,1,1,0,1,3,0,1,3
368,3,1,1,0,3,1,1,1,2
369,3,1,1,1,3,1,0,1,1
370,2,1,1,0,3,1,1,1,1
371,2,1,1,0,1,1,1,0,4
372,2,1,1,0,1,1,0,0,4
373,1,1,1,0,1,1,1,1,4
374,0,1,0,0,1,1,1,1,4
375,2,1,0,1,1,1,1,2,3
376,7,1,1,0,2,3,1,1,2
377,6,1,1,1,3,2,0,1,1
378,6,1,1,0,1,2,0,1,3
379,3,1,1,0,3,1,1,2,4
380,1,1,1,0,1,1,1,0,4
381,1,1,0,1,1,1,0,1,0
382,2,1,0,0,2,1,1,1,3
383,0,1,1,0,1,1,1,1,3
384,1,1,0,0,1,1,1,2,2
385,3,1,1,0,3,1,0,0,3
386,3,1,0,0,3,1,1,0,4
387,1,1,0,0,1,1,0,0,3
388,8,1,1,0,3,3,0,1,1
389,6,0,1,0,3,2,0,1,3
390,3,1,1,0,1,1,1,0,4
391,4,1,1,0,1,2,0,1,3
392,4,1,1,0,1,2,0,0,2
393,4,1,1,0,3,2,0,1,4
394,2,1,1,0,2,1,0,1,3
395,5,1,1,1,3,2,0,1,1
396,1,1,1,0,1,1,1,1,4
397,4,1,0,0,3,2,1,1,3
398,5,1,1,0,1,2,1,0,3
399,6,1,1,0,3,2,1,0,4
400,2,1,1,0,3,1,0,0,3
401,2,1,1,0,3,1,1,1,3
402,4,1,1,0,1,2,0,1,2
403,1,1,0,0,2,1,1,1,4
404,2,1,0,0,1,1,1,0,4
405,1,1,1,0,3,1,0,2,1
406,8,1,1,1,1,3,0,0,0
407,8,1,1,0,1,3,0,1,2
408,6,1,1,0,3,2,1,1,2
409,1,1,1,0,3,1,1,1,4
410,5,1,1,0,2,2,1,1,4
411,3,0,1,0,2,1,0,0,4
412,2,0,0,0,3,1,1,1,4
413,11,1,1,0,3,3,1,0,4
414,4,1,1,1,3,2,0,0,4
415,6,1,1,0,1,2,1,0,4
416,2,1,1,0,1,1,1,1,3
417,7,1,1,0,3,3,0,1,2
418,4,1,1,0,1,2,1,0,4
419,3,1,1,1,2,1,1,0,3
420,3,1,1,0,2,1,1,0,3
421,6,1,1,0,1,2,0,0,4
422,1,1,0,0,2,1,0,1,4
423,0,1,1,0,1,1,0,2,3
424,1,1,1,0,2,1,1,1,3
425,1,1,1,0,2,1,0,1,1
426,1,1,1,0,1,1,0,0,4
427,4,1,1,0,3,2,1,0,4
428,5,1,1,0,3,2,1,1,2
429,2,0,1,0,3,1,1,1,3
430,8,1,1,0,1,3,0,1,1
431,3,1,1,0,3,1,0,1,1
432,2,1,1,0,2,1,0,0,4
433,3,1,1,0,1,1,1,1,3
434,1,1,1,0,1,1,0,1,1
435,2,1,1,0,1,1,0,1,3
436,1,1,1,0,2,1,1,0,4
437,3,1,0,0,1,1,1,0,4
438,3,1,1,0,1,1,0,1,2
439,5,1,1,0,2,2,1,1,4
440,6,1,0,1,1,2,0,1,1
441,1,1,1,0,1,1,1,0,4
442,3,0,1,0,2,1,1,0,4
443,2,1,1,0,3,1,1,0,4
444,1,1,0,0,2,1,1,2,2
445,1,1,0,0,1,1,1,0,4
446,3,1,0,0,2,1,1,0,4
447,4,1,1,0,3,2,0,0,4
448,6,1,1,0,1,2,1,0,3
449,3,1,0,0,3,1,0,1,3
450,5,0,1,0,3,2,1,0,4
451,0,1,0,0,1,1,1,1,3
452,0,0,0,0,1,1,0,0,4
453,2,1,0,0,1,1,1,1,3
454,5,1,1,0,3,2,1,0,4
455,2,1,1,0,1,1,1,1,1
456,5,1,0,0,2,2,0,0,4
457,1,1,1,0,1,1,1,0,4
458,4,1,0,0,2,2,0,1,3
459,1,1,0,0,1,1,0,1,1
460,1,0,1,0,2,1,1,1,2
461,1,1,1,0,3,1,1,0,4
462,2,1,0,0,2,1,0,0,4
463,8,1,0,1,1,3,0,1,2
464,2,1,1,0,3,1,1,1,4
465,4,0,1,0,2,2,1,1,4
466,4,1,1,0,3,2,0,1,4
467,8,1,1,0,1,3,0,1,1
468,5,1,1,0,3,2,1,1,3
469,12,1,1,0,1,3,1,1,1
470,7,1,1,0,2,3,0,1,3
471,9,1,1,0,3,3,0,1,3
472,1,1,0,0,1,1,0,1,3
473,5,1,0,0,1,2,0,1,1
474,6,1,1,1,1,2,0,1,0
475,6,0,1,0,3,2,0,1,1
476,3,1,1,0,2,1,0,1,3
477,1,1,1,0,1,1,0,0,4
478,4,1,1,0,3,2,1,1,1
479,8,1,1,0,1,3,0,1,1
480,7,1,1,0,3,3,1,1,4
481,2,1,1,0,3,1,0,1,4
482,2,1,1,0,3,1,1,0,4
483,1,1,0,0,1,1,1,1,2
484,5,1,0,0,3,2,1,0,4
485,3,1,1,0,3,1,0,1,1
486,2,1,0,0,2,1,0,1,1
487,3,1,1,0,3,1,1,1,4
488,3,1,1,0,3,1,0,1,3
489,2,1,1,0,1,1,0,1,1
490,5,1,1,0,3,2,0,1,2
491,4,1,1,1,1,2,0,1,3
492,7,1,1,0,1,3,0,1,2
493,3,1,1,0,3,1,0,1,2
494,0,1,0,0,1,1,1,1,4
495,4,1,1,0,2,2,1,1,3
496,2,1,0,0,2,1,1,0,4
497,1,1,0,0,1,1,1,0,4
498,3,0,1,0,3,1,1,0,4
499,4,1,1,0,2,2,0,1,3
500,1,1,1,0,2,1,0,1,4
501,1,1,1,0,1,1,1,0,4
502,2,1,1,0,3,1,0,2,4
503,1,1,1,0,1,1,0,0,4
504,6,1,0,0,3,2,0,1,1
505,3,1,1,0,3,1,0,1,3
506,8,1,1,1,1,3,0,1,1
507,1,1,0,0,1,1,0,0,3
508,3,0,1,0,2,1,1,1,3
509,4,1,1,0,3,2,0,1,3
510,1,1,1,0,1,1,0,1,2
511,1,1,0,0,2,1,0,1,1
512,3,1,1,0,2,1,0,1,4
513,3,1,1,0,3,1,1,1,3
514,6,1,1,0,1,2,0,1,3
515,1,1,1,1,1,1,0,1,1
516,2,1,1,0,1,1,1,0,3
517,6,1,0,0,3,2,1,1,4
518,5,1,1,0,1,2,0,1,3
519,4,1,1,1,1,2,0,1,1
520,5,0,0,0,3,2,1,1,4
521,4,1,1,0,3,2,0,1,2
522,5,1,1,0,3,2,0,1,4
523,1,0,0,0,1,1,1,1,4
524,4,0,0,0,2,2,1,0,4
525,3,1,1,0,3,1,0,1,4
526,11,1,1,1,3,3,1,0,3
527,2,1,1,1,1,1,0,1,1
528,3,0,0,1,3,1,0,1,4
529,1,1,1,0,3,1,1,1,3
530,3,1,1,0,1,1,0,1,3
531,2,1,1,0,3,1,0,1,4
532,0,1,0,0,1,1,0,2,2
533,3,1,1,0,3,1,1,0,4
534,2,1,1,0,1,1,1,1,3
535,4,1,1,0,2,2,1,0,4
536,3,1,0,0,3,1,1,0,3
537,3,1,1,0,3,1,0,1,3
538,4,1,1,0,1,2,1,1,4
539,2,1,0,0,1,1,0,1,4
540,6,1,1,0,2,2,0,0,4
541,9,1,1,0,2,3,0,0,3
542,4,1,1,0,3,2,0,1,2
543,4,1,1,1,3,2,0,1,1
544,4,1,0,0,3,2,0,1,3
545,4,1,1,0,3,2,1,1,4
546,1,1,1,0,1,1,0,1,4
547,4,0,1,0,1,2,1,0,4
548,2,1,0,0,3,1,0,0,4
549,3,0,0,0,3,1,1,1,4
550,4,1,0,0,3,2,1,1,3
551,1,1,1,0,1,1,0,2,1
552,4,1,1,0,2,2,1,1,1
553,1,1,1,0,3,1,0,1,3
554,3,1,1,0,3,1,0,1,3
555,5,1,1,0,1,2,0,0,4
556,1,1,0,0,1,1,1,1,4
557,1,1,0,0,3,1,1,1,4
558,2,0,1,0,3,1,1,1,4
559,2,1,0,0,2,1,0,0,4
560,5,1,1,0,3,2,0,0,4
561,4,1,0,0,1,2,0,0,4
562,1,1,1,0,2,1,1,0,4
563,2,1,1,0,1,1,0,1,3
564,5,1,1,0,1,2,0,1,3
565,0,1,0,0,1,1,0,1,3
566,2,1,1,0,1,1,0,1,3
567,2,1,1,0,1,1,0,1,2
568,2,1,1,0,1,1,1,1,3
569,1,1,1,0,3,1,0,1,3
570,3,0,1,0,1,1,1,0,4
571,1,1,1,0,1,1,0,1,2
572,2,0,0,0,2,1,0,0,4
573,2,1,1,0,3,1,0,1,3
574,3,1,1,0,3,1,1,1,3
575,8,1,1,0,1,3,0,1,3
576,2,1,1,0,1,1,1,0,3
577,1,0,1,0,1,1,0,1,3
578,3,1,1,0,1,1,1,0,4
579,11,1,1,0,1,3,0,1,2
580,3,1,0,0,2,1,1,0,4
581,5,1,1,0,1,2,1,0,4
582,1,1,1,0,1,1,0,1,3
583,2,0,1,0,3,1,0,0,4
584,0,1,0,0,1,1,0,1,3
585,3,1,1,0,3,1,1,0,4
586,1,1,1,1,3,1,0,1,2
587,6,1,1,0,2,2,1,1,3
588,3,1,0,0,1,1,1,1,3
589,4,1,1,0,2,2,1,1,4
590,3,1,1,0,3,1,0,1,3
591,1,1,0,0,1,1,0,0,4
592,2,1,0,0,3,1,1,0,4
593,9,1,1,0,3,3,1,1,3
594,1,0,0,0,3,1,1,0,3
595,5,1,1,0,1,2,0,1,4
596,7,1,1,0,1,3,1,1,0
597,4,1,0,0,3,2,0,1,2
598,1,0,1,0,1,1,0,1,3
599,0,0,1,0,1,1,1,1,4
600,4,1,1,0,1,2,0,1,1
601,8,1,1,0,2,3,0,1,1
602,0,1,0,0,1,1,1,1,4
603,2,1,1,0,1,1,1,1,3
604,1,1,1,0,3,1,0,1,3
605,2,1,0,1,1,1,0,1,2
606,2,0,1,0,1,1,1,1,3
607,2,0,0,0,2,1,1,0,4
608,2,1,1,0,3,1,1,0,4
609,1,0,1,0,3,1,1,0,4
610,0,1,1,0,1,1,1,1,2
611,4,1,1,0,3,2,0,0,3
612,3,1,1,0,3,1,1,1,4
613,2,1,1,0,3,1,1,1,2
614,4,1,0,0,2,2,0,1,4
615,4,1,1,0,1,2,0,1,0
616,2,1,1,0,3,1,0,1,3
617,1,1,0,0,1,1,1,0,4
618,5,1,1,1,1,2,0,1,0
619,5,1,1,0,2,2,1,0,3
620,8,1,1,1,2,3,1,1,0
621,9,1,0,0,3,3,0,1,1
622,2,1,1,0,3,1,0,1,3
623,11,1,0,0,2,3,0,1,3
624,3,1,0,0,3,1,1,0,4
625,4,1,1,0,1,2,1,1,1
626,3,1,0,0,1,1,0,1,3
627,3,1,1,0,3,1,1,1,2
628,3,1,1,0,3,1,1,0,4
629,4,1,0,0,3,2,0,1,3
630,4,1,1,0,1,2,0,1,3
631,2,1,1,0,1,1,0,1,4
632,5,1,0,0,3,2,1,1,1
633,0,1,1,0,1,1,0,1,3
634,1,0,0,0,3,1,0,0,4
635,7,0,1,0,2,3,0,0,3
636,3,1,1,0,2,1,1,0,4
637,1,1,1,0,3,1,0,1,4
638,3,0,0,0,2,1,1,0,4
639,3,0,0,1,2,1,1,1,3
640,3,1,0,0,3,1,0,1,1
641,3,1,1,0,2,1,1,0,4
642,6,1,1,0,3,2,0,1,2
643,1,1,1,0,1,1,0,1,2
644,7,1,0,0,3,3,0,1,2
645,6,0,0,0,1,2,1,0,4
646,0,1,1,0,1,1,0,1,3
647,0,1,0,0,1,1,0,1,4
648,2,1,1,0,3,1,0,0,4
649,5,1,0,0,3,2,0,0,1
650,1,1,0,0,3,1,1,1,4
651,4,1,1,0,1,2,1,0,4
652,1,1,1,0,1,1,0,1,4
653,1,1,0,0,3,1,0,1,3
654,7,1,0,0,1,3,0,1,3
655,1,1,1,0,1,1,0,1,3
656,5,1,1,0,2,2,0,0,3
657,3,1,1,0,2,1,1,0,4
658,4,1,1,0,2,2,1,1,4
659,2,0,0,0,3,1,0,0,4
660,5,1,1,0,3,2,0,1,2
661,6,1,1,0,1,2,0,1,3
662,6,1,1,0,1,2,0,1,2
663,5,1,1,0,3,2,0,1,1
664,2,1,0,0,1,1,1,0,4
665,3,1,0,0,2,1,0,1,4
666,1,1,1,0,3,1,0,1,1
667,3,1,1,0,3,1,0,1,3
668,2,1,0,0,3,1,0,1,3
669,3,1,1,0,3,1,0,1,3
670,3,1,0,0,1,1,1,1,1
671,2,1,0,0,2,1,0,1,4
672,1,1,0,0,2,1,1,1,3
673,6,1,1,0,2,2,0,1,2
674,2,1,1,0,1,1,0,1,3
675,1,1,1,0,1,1,0,1,2
676,3,1,1,0,2,1,1,0,4
677,3,1,1,0,2,1,0,0,3
678,3,1,1,0,1,1,1,0,3
679,4,1,1,0,2,2,1,0,4
680,3,1,1,0,1,1,0,1,3
681,1,0,1,0,1,1,1,1,4
682,7,1,0,0,1,3,0,1,2
683,2,0,1,0,3,1,0,1,3
684,5,1,1,0,2,2,1,1,4
685,0,1,0,0,1,1,0,1,3
686,2,1,0,0,3,1,0,1,2
687,1,1,1,0,3,1,1,1,1
688,0,0,0,0,1,1,0,1,3
689,6,0,1,0,2,2,0,0,4
690,5,1,1,0,2,2,1,1,4
691,1,1,1,0,3,1,0,1,3
692,2,1,1,0,3,1,0,1,1
693,5,1,1,0,1,2,0,1,2
694,5,1,1,0,1,2,0,1,2
695,4,1,1,0,1,2,0,1,3
